After You, DSRB,1,2,Cole Porter 
Ain't Misbehavin',DSRB,3,3,Waller-Razaf
All of You,DSRB,4,5,Cole Porter
All Through the Night,DSRB,6,7,Cole Porter
Alone Together,DSRB,8,9,Dietz-Schwartz
And the Angels Sing,DSRB,10,11,Mercer-Elman
Anything Goes,DSRB,12,13,Cole Porter
As Time Goes By,DSRB,14,15,Herman Hupfield
Autumn Nocturne,DSRB,16,17,Gannon-Myrow
Beautiful Friendship (A),DSRB,18,18,Kahn-Styne
Begin the Beguine,DSRB,19,20,Cole Porter
Bewitched,DSRB,21,22,Rogers-Hart
Bidin' My Time,DSRB,23,24,Gershwin
Blue and Sentimental,DSRB,25,25,Basie-Livingston-David
Blue Gardenia,DSRB,26,27,Russell-Lee
Blue Room,DSRB,28,29,Rogers-Hart
Blues In The Night,DSRB,30,31,Arlen- Mercer
Body and Soul,DSRB,32,33,Green-Heyman-Sour-Eyton 
But Not For Me,DSRB,34,35,Gershwin
Caught Up in the Rapture,DSRB,36,37,Glenn-Quander
Charade,DSRB,38,39,Mancini-Mercer
Close Enough for Love,DSRB,40,41,Mandel-Williams
The Continental,DSRB,42,43,Conrad-Magidson
Crazy Rhythm,DSRB,44,45,Meyer-Kagn-Caesar
Cute,DSRB,46,47,Hefti-Styne
Dancing in the Dark,DSRB,48,49,Schwartz-Dietz
Dancing on the Ceiling,DSRB,50,51,Rodgers-Hart
Day Dream,DSRB,52,53,Ellington-Strayhorn-Latouche
Day In Day Out,DSRB,54,55,Bloom-Mercer
Days of Wine and Roses (The),DSRB,56,56,Mancini-Mercer
Dedicated to You,DSRB,57,58,Cahn-Chaplin-Zaret
Dream Dancint,DSRB,59,60,Porter
Easy to Love,DSRB,61,62,Porter
Embraceable You,DSRB,63,64,Gershwin
Everything I Have is You,DSRB,65,66,Lane-Adamson
Everything I Love,DSRB,67,68,Porter
Falling in Love with Love,DSRB,69,70,Rodgers-Hart
Fascinating Rhythm,DSRB,71,72,Gershwin
Foggy Day (A),DSRB,73,74,Gershwin
From This Moment On,DSRB,75,76,Porter
Get Happy,DSRB,77,78,Arlen-Koehler
Get Here,DSRB,79,80,Russell
Give Me the Simple Life,DSRB,81,82,Bloom-Ruby
Have You Met Miss Jones?,DSRB,83,84,Rodgers-Hart
He Was Too Good to Me,DSRB,85,86,Rodgers-Hart
Hey There,DSRB,87,88,Adler-Ross
Honeysuckle Rose,DSRB,89,89,Waller-Razaf
How Long Has This Been Going On?,DSRB,90,91,Gershwin
I Can't Get Started,DSRB,92,93,Duke-Gershwin
I Concetrate on You,DSRB,94,95,Porter
I Could Write a Book,DSRB,96,97,Rodgers-Hart
I Cover the Waterfront,DSRB,98,99,Green-Heyman
I Didn't Know What Time It Was,DSRB,100,101,Rodgers-Hart
I Get a Kick Out of You,DSRB,102,103,Porter
I Got Rhythm,DSRB,104,105,Gershwin
I Gotta Right to Sing the Blues,DSRB,106,107,Arlen-Koehler
I Guess I'll Hve to Change My Plan,DSRB,108,109,Schwartz-Dietz
I Had teh Craziest Dream,DSRB,110,111,Warren-Gordon
I Have the Feeling I've Been Here Before,DSRB,112,113,Kellaway-Bergman
I Love You,DSRB,114,115,Porter
I Loves You Porgy,DSRB,116,117,Gershwin
I Thought About You,DSRB,118,119,Heusen-Mercer
I Want To Be Happy,DSRB,120,121,Youmans-Caesar
I Was Doing All Right,DSRB,122,123,Gershwin
I Will Be Here For You,DSRB,124,127,Page-George-Lang
I Wish I Knew,DSRB,128,129,Warren-Gordon
I Wish I Were in Love Again,DSRB,130,131,Rodgers-Hart
I'm a Fool to Want You,DSRB,132,133,Sinatra-Wolf-Herron
I've Got a Crush on You,DSRB,134,135,Gershwin
I've Got You Under My Skin,DSRB,136,137,Porter
If There is Someone Lovelier Than You,DSRB,138,139,Schwartz-Dietz
In the Midnight Hour,DSRB,140,141,Cropper-Pickett
Indian Summer,DSRB,142,142,Herbert-Dubin
It Ain't Necessarily So,DSRB,143,144,Gershwin
It Never Entered My Mind,DSRB,145,146,Rodgers-Hart
It's All Right With Me,DSRB,147,148,Porter
It's Magic,DSRB,149,150,Styne-Cahn
It's Only a Paper Moon,DSRB,151,151,Adler-Rose-Harburg
It's You or No One,DSRB,152,153,Styne-Cahn
Jitterbug Waltz (The),DSRB,154,155,Waller
Johnny One Note,DSRB,156,157,Rodgers-Hart
Joint is Jumpin' (The),DSRB,158,159,Waller-Razaf-Johnson
Just One of Those Things,DSRB,160,161,Porter
Lady is a Tramp (The),DSRB,162,163,Rodgers-Hart
Lester Leaps In,DSRB,164,164,Young-Jefferson
Let's Call the Whole Thing Off,DSRB,165,166,Gershwin
Let's Do It,DSRB,167,168,Porter
Li'l Darlin',DSRB,169,170,Hefti-Hendricks
Like a Lover,DSRB,171,172,Caymmi-Bergman
Love For Sale,DSRB,173,174,Porter
Love Walked In,DSRB,175,176,Gershwin
Lover Come Back to Me,DSRB,177,178,Romberg-Hammerstein
Lucky To Be Me,DSRB,179,180,Bernstein-Comden-Green
Lullaby of Broadway,DSRB,181,182,WArren-Dubin
Man I Love (The),DSRB,183,184,Gershwin
Man That Got Away (The),DSRB,185,186,Arlen-Gershwin
Manha de Carnaval,DSRB,187,187,Bonfa-Maria
Day In the Life of a Fool (A),DSRB,187,187,Bonfa-Maria
Masquerade is Over (The),DSRB,188,189,Wrubel-Magidson
Miss Otis Regrets,DSRB,190,191,Porter
Moondance,DSRB,192,193,Morrison
More I See You (The),DSRB,194,195,Warren-Gordon
More Than You Know,DSRB,196,197,Youmans-Rose-Eliscu
Mountain Greenery,DSRB,198,199,Rodgers-Hart
My Funny Valentine,DSRB,200,201,Rodgers-Hart
My Heart Stood Still,DSRB,202,203,Rodgers-Hart
My Man's Gone Now,DSRB,204,205,Gershwin
My Ship,DSRB,206,207,Weill-Gershwin
Nice Work if You Can Get It,DSRB,208,209,Gershwin
NIght and Day,DSRB,210,211,Porter
Oh Lady Be Good,DSRB,212,213,Gershwin
On a Clear Day,DSRB,214,215,Lane-Lerner
On Green Dolphin Street,DSRB,216,216,Kaper-Washington
Our Love is Here to Stay,DSRB,217,218,Gershwin
People Make the World Go 'Roung,DSRB,219,220,Bell-Creed
Piano in the Dark,DSRB,221,224,Russell-Hull-Cutler
Retrato em Branco e Preto,DSRB,225,226,Jobim-Buarque
Round Midnight,DSRB,227,228,Willimas-Monk-Hanighen
S Wonderful,DSRB,229,230,Gershwin
Samba do Aviao,DSRB,231,232,Jobim
Secret Love,DSRB,233,234,Fain-Webster
September in the Rain,DSRB,235,236,Warren-Dubin
September Song,DSRB,237,237,Weill-Anderson
Serenade In Blue,DSRB,238,239,Warren-Gordon
Shiny Stockings,DSRB,240,241,Foster-Fitzgerald
Since I Fell for You,DSRB,242,243,Johnson
Skylark,DSRB,244,245,Carmichael-Mercer
So in Love,DSRB,246,247,Porter
So Many Stars,DSRB,248,249,Mendes-Bergman
Softly as in a Morning Sunrise,DSRB,250,251,Romberg-Hammerstein
Some Other Time,DSRB,252,253,Berstein-Comden-Green
Somebody Loves Me,DSRB,254,255,Gershwin-Desylva-Macdonald
Some to Watch Over Me,DSRB,256,257,Gershwin
Sometimes I'm Happy,DSRB,258,259,Youmans-Caesar-Grey
Soon,DSRB,260,261,Gershwin
Soul Man,DSRB,262,263,Hayes-Porter
Speak Low,DSRB,264,265,Weill-Nash
Strike Up the Band,DSRB,266,267,Gershwin
Summer Knows (The),DSRB,268,269,Legrand-Bergman
Summer Night,DSRB,270,271,Warren-Dubin
Summertime,DSRB,272,273,Gershwin
Sweet Georgia Brown,DSRB,274,275,Bernie-Pinkard-Casey
Tea fo Two,DSRB,276,277,Youmans-Caesar
That Old Feeling,DSRB,278,278,Brown-Fain
That's All,DSRB,279,280,Haymes-Brandt
There is No Greater Love,DSRB,281,281,Jone-Symes
There's a Small Hotel,DSRB,282,283,Rodgers-Hart
They All Laughed,DSRB,284,285,Gershwin
They Can't Take That Away From Me,DSRB,286,287,Gershwin
This Heart of Mine,DSRB,288,289,Warren-Feed
This is Always,DSRB,290,291,Warren-Gordon
This is New,DSRB,292,293,Weil-Gershwin
Thou Swell,DSRB,294,295,Rodgers-Hart
Time For Love (A),DSRB,296,297,Mandel-Webster
Too Marvelous for Words,DSRB,298,299,Whitig-Mercer
Triste,DSRB,300,301,Jobim
Waters of March,DSRB,302,305,Jobim
Wave,DSRB,306,307,Jobim
What A Little Moonlight Can Do,DSRB,308,309,Woods
What is This Thing Called Love?,DSRB,310,311,Porter
What's Love Got To Do With It,DSRB,312,313,Britten-Lyle
What's New,DSRB,314,315,Haggart-Burke
When a Man Loves a Woman,DSRB,316,317,Lewis-Wright
When Your Lover Has Gone,DSRB,318,319,Swan
Where or When,DSRB,320,321,Rodgers-Hart
Who Cares?,DSRB,322,323,Gershwin
Without a Song,DSRB,324,325,Youmans-Rose-Eliscu
You and the Night and the Music,DSRB,326,327,Schwartz-Dietz
You Are Too Beautiful,DSRB,328,329,Rodgers-Hart
You Do Something To Me,DSRB,330,331,Porter
You Make Me Feel Brand New,DSRB,332,333,Bell-Creed
You Make Me Feel So Young,DSRB,334,335,Myron-Gordon
You Took Advantage of Me,DSRB,336,337,Rodgers-Hart
You'd Be So Nice to Come Home to,DSRB,338,339,Porter
You'll Never Know,DSRB,340,341,Warren-Gordon
You're My Everything,DSRB,342,342,Warren-Young
You're the Top,DSRB,343,344,Porter
