Song Title,Offset,,Key,Composer,Year,Song with Key
Red Clay,474,474,C,Freddie Hubbard,1972,Red Clay (C)
Red Sails in the Sunset,475,475,C,Jimmy Kennedy/Hugh Williams,1935,Red Sails in the Sunset (C)
Relaxin' at Camarillo,476,476,C,Charlie Parker,1961,Relaxin' at Camarillo (C)
Remember,477,477,C,Irving Berlin,1925,Remember (C)
Rhythm-A-Ning,478,478,C,Thelonious Monk,1958,Rhythm-A-Ning (C)
Road Song,479,479,C,Wes Montgomery,1968,Road Song (C)
Robbin’s Nest,480,480,C,“Illinois” Batiste Jaquet/Sir Charles Thompson,1947,Robbin’s Nest (C)
Room 608,481,481,C,Horace Silver,1958,Room 608 (C)
Rosetta,482,482,C,Earl “Fatha” Hines/Henry Wood,1955,Rosetta (C)
Rough Ridin’,483,483,C,Ella Fitzgerald/Hank Jones/William Tennyson,1952,Rough Ridin’ (C)
‘Round Midnight,484,484,C,Thelonious Monk/Cootie Williams/Bernie Hanighen,1944,‘Round Midnight (C)
"Ruby, My Dear",485,485,C,Thelonious Monk,1945,"Ruby, My Dear (C)"
"Saddest Thing of All, The",486,486,C,Michel Legrand,1976,"Saddest Thing of All, The (C)"
Samba de Orpheu,487,487,C,Antonia Maria/Luiz Bonfa,1959,Samba de Orpheu (C)
"Sands of Time, The",488,488,C,Jerome J. Leshay/T. Barr,1962,"Sands of Time, The (C)"
Sandu,489,489,C,Clifford Brown,1972,Sandu (C)
Satin Doll,490,490,C,Duke Ellington/Billy Strayhorn/Johnny Mercer,1953,Satin Doll (C)
Save Your Love for Me,491,491,C,Buddy Johnson,1952,Save Your Love for Me (C)
Scrapple from the Apple,492,492,C,Charlie Parker,1957,Scrapple from the Apple (C)
"Second Time Around, The",493,493,C,Sammy Cahn/James Van Heusen,1967,"Second Time Around, The (C)"
Secret Love,494,494,C,Sammy Fain/Paul Francis Webster,1953,Secret Love (C)
September in the Rain,495,495,C,Harry Warren/Al Dubin,1937,September in the Rain (C)
September Song,496,496,C,Maxwell Anderson/Kurt Weill,1958,September Song (C)
Serenade in Blue,497,497,C,Harry Warren/Mack Gordon,1942,Serenade in Blue (C)
Serenata,498,498,C,Mitchell Parish/Leroy Anderson,1949,Serenata (C)
Seven Steps to Heaven,499,499,C,Miles Davis/Victor Feldman,1963,Seven Steps to Heaven (C)
Shadow of Your Smile,500,500,C,Johnny Mandell/Paul Francis Webster,1965,Shadow of Your Smile (C)
Shaker Song,501,501,C,Jay Beckenstein/David Lasley/Allee Willis,1977,Shaker Song (C)
Shiny Stockings,502,502,C,Ella Fitzgerald/Frank Foster,1956,Shiny Stockings (C)
Sidewinder,503,503,C,Lee Morgan,1959,Sidewinder (C)
Silver's Serenade,504,504,C,Horace Silver,1963,Silver's Serenade (C)
"Simple Waltz, A",505,506,C,Bruce Forman,1981,"Simple Waltz, A (C)"
Simone,507,507,C,Frank Forster,1971,Simone (C)
Since I Fell For You,508,508,C,Buddy Johnson,1948,Since I Fell For You (C)
Sister Sadie,509,509,C,Horace Silver,1959,Sister Sadie (C)
Skating in Central Park,510,510,C,John Lewis,1959,Skating in Central Park (C)
Skylark,511,511,C,Johnny Mercer/Hoagy Carmichael,1941,Skylark (C)
On A Slow Boat to China,512,512,C,Frank Loesser,1948,On A Slow Boat to China (C)
Slow Hot Wind,513,513,C,Henry Mancini/Norman Gimbel,1963,Slow Hot Wind (C)
Smoke Gets In Your Eyes,514,514,C,Jerome Kern/Otto Harbach,1933,Smoke Gets In Your Eyes (C)
So in Love,515,515,C,Cole Porter,1948,So in Love (C)
So Nice,516,516,C,Marcos Valle/Paulo Sergio Valle/Norman Gimbel,1963,So Nice (C)
So What,517,517,C,Miles Davis,1959,So What (C)
Soft Summer Breeze,518,518,C,Eddie Heywood/Judy Spencer,1956,Soft Summer Breeze (C)
Soft Winds,519,519,C,Benny Goodman,1940,Soft Winds (C)
"Softly,  As In A Morning Sunrise",520,520,C,Sigmund Romberg/Oscar Hammerstein,1928,"Softly,  As In A Morning Sunrise (C)"
Solar,521,521,C,Miles Davis,1963,Solar (C)
Solitude,522,522,C,Eddie DeLange/Irving Mills/Duke Ellington,1934,Solitude (C)
Some Other Time,523,523,C,Leonard Bernstein/Betty Comden/Adolph Green,1945,Some Other Time (C)
Someday My Prince Will Come,524,524,C,Frank Churchill/Larry Morey,1937,Someday My Prince Will Come (C)
Someone to Watch Over Me,525,525,C,George & Ira Gershwin,1926,Someone to Watch Over Me (C)
Sometime Ago,526,526,C,Sergio Mihanovich,1962,Sometime Ago (C)
Somewhere in the Night,527,527,C,Milton Raskin/Billy May,1958,Somewhere in the Night (C)
Somewhere Over the Rainbow,528,528,C,Harold Arlen/E. Y. Harburg,1938,Somewhere Over the Rainbow (C)
Song for My Father,529,529,C,Horace Silver,1964,Song for My Father (C)
"Song Is Ended, The",530,530,C,Irving Berlin,1927,"Song Is Ended, The (C)"
"Song is You, The",531,531,C,Jerome Kern/Oscar Hammerstein,1952,"Song is You, The (C)"
Soon,532,532,C,George & Ira Gershwin,1929,Soon (C)
Soon It’s Gonna Rain,533,533,C,Harvey Schmidt/Tom Jones,1960,Soon It’s Gonna Rain (C)
Sophisticated Lady,534,534,C,Duke Ellington/Irving Mills/Mitchell Parish,1932,Sophisticated Lady (C)
Soul Eyes,535,535,C,Mal Waldron,1964,Soul Eyes (C)
Soultrane,536,536,C,Tadd Dameron,1956,Soultrane (C)
Spain,537,537,C,Chick Corea,1973,Spain (C)
Speak Low,538,538,C,Kurt Weil/Ogden Nash,1943,Speak Low (C)
Spectacular,539,539,C,Cannonball Adderly,1957,Spectacular (C)
Spring is Here,540,540,C,Richard Rodgers/Lorenz Hart,1958,Spring is Here (C)
Spring Can Really Hang You Up The Most,541,542,C,Fran Landesman/Tommy Wolf,1955,Spring Can Really Hang You Up The Most (C)
St. Thomas,543,543,C,Sonny Rollins,1963,St. Thomas (C)
Stablemates,544,544,C,Benny Golson,1954,Stablemates (C)
Stairway to the Stars,545,545,C,Matt Malneck/Frank Signorelli/Mitchell Parish,1960,Stairway to the Stars (C)
Star Eyes,546,546,C,Don Raye/Gene DePaul,1942,Star Eyes (C)
Stardust,547,547,C,Hoagy Carmichael/Mitcheel Parish,1929,Stardust (C)
Stars Fell on Alabama,548,548,C,Mitchell Parish/Frank Perkins,1934,Stars Fell on Alabama (C)
Stella by Starlight,549,549,C,Ned Washington/Victor Young,1946,Stella by Starlight (C)
Stolen Moments,550,550,C,Oliver Nelson,1961,Stolen Moments (C)
Stompin’ at the Savoy,551,551,C,Benny Goodman/Andy Razaf,1936,Stompin’ at the Savoy (C)
Stormy Weather,552,552,C,Harold Arlen/Ted Koehler,1933,Stormy Weather (C)
Stranger in Paradise,553,553,C,Robert Wright/George Forrest,1953,Stranger in Paradise (C)
Street of Dreams,554,554,C,Sam F. Lewis/Victor Young,1952,Street of Dreams (C)
Strollin’,555,555,C,Horace Silver,1960,Strollin’ (C)
Summer in Central Park,556,556,C,Horace Silver,1972,Summer in Central Park (C)
Summer Night,557,557,C,Al Dubin/Harry Warren,1936,Summer Night (C)
Summertime,558,558,C,George & Ira Gershwin,1935,Summertime (C)
Sunny,559,559,C,Bobby Hebb,1966,Sunny (C)
On the Sunny Side of the Street,560,560,C,Jimmy McHugh/Dorothy Fields,1930,On the Sunny Side of the Street (C)
You Are the Sunshine of My Life,561,561,C,Stevie Wonder,1972,You Are the Sunshine of My Life (C)
Sweet and Lovely,562,562,C,Gus Arnheim/Harry Tobias/Jules Lemare,1931,Sweet and Lovely (C)
Sweet Georgia Brown,563,563,C,Ben Bernie/Maceo Pinkard/Kenneth Casey,1925,Sweet Georgia Brown (C)
Sweet Lorraine,564,564,C,Michell Parish/Cliff Burnell,1928,Sweet Lorraine (C)
Swingin’ the Samba,565,565,C,Horace Silver,1959,Swingin’ the Samba (C)
S’Wonderful,566,566,C,George & Ira Gershwin,1927,S’Wonderful (C)
Take Five,567,567,C,Paul Desmond,1950,Take Five (C)
Take the “A” Train,568,568,C,Duke Ellington,1941,Take the “A” Train (C)
Takin’ a Chance on Love,569,569,C,John LaTouche/Ted Fetter/Vernon Duke,1940,Takin’ a Chance on Love (C)
Talk of the Town,570,570,C,Marty Symes/Al J. Neiburg/Jerry Livingston,1933,Talk of the Town (C)
Tangerine,571,571,C,Johnny Mercer/Victor Schertzinger,1942,Tangerine (C)
Tea for Two,572,572,C,Vincent Youmans/Irving Ceasar,1924,Tea for Two (C)
Teach Me Tonight,573,573,C,Sammy Cahn/Gene DePaul,1953,Teach Me Tonight (C)
Tenderly,574,574,C,Jack Lawrence/Walter Gross,1946,Tenderly (C)
That Old Feeling,575,575,C,Sammy Fain/Lou Brown,1937,That Old Feeling (C)
That’s All,576,576,C,Alan Brandt/Bob Haymes,1952,That’s All (C)
Theme for Ernie,577,577,C,Fred Lacey,1969,Theme for Ernie (C)
Theme from “The Fox”,578,578,C,Lalo Schifrin,1968,Theme from “The Fox” (C)
There Is No Greater Love,579,579,C,Marty Symes/Isham Jones,1936,There Is No Greater Love (C)
There Will Never Be Another You,580,580,C,Harry Warren/Mack Gordon,1942,There Will Never Be Another You (C)
There’s A Small Hotel,581,581,C,Richard Rodgers/Lorenz Hart,1936,There’s A Small Hotel (C)
There's No You,582,582,C,Hal Hopper/Tom Adair,1944,There's No You (C)
These Are Soulful Days,583,583,C,Calvin Massey,1960,These Are Soulful Days (C)
These Foolish Things,584,584,C,Jack Strachey/Harry Link/Holt Marvell,1936,These Foolish Things (C)
They Can’t Take That Away from Me,585,585,C,George & Ira Gershwin,1937,They Can’t Take That Away from Me (C)
Things Ain’t What They Used to Be,586,586,C,Mercer Ellington,1942,Things Ain’t What They Used to Be (C)
"Things We Did Last Summer, The",587,587,C,Sammy Cahn/Cole Porter,1946,"Things We Did Last Summer, The (C)"
This Can’t Be Love,588,588,C,Richard Rodgers/Lorenz Hart,1938,This Can’t Be Love (C)
This I Dig of You,589,589,C,Hank Mobley,1960,This I Dig of You (C)
This Is New,590,590,C,Ira Gershwin/Kurt Weill,1941,This Is New (C)
This Love of Mine,591,591,C,Frank Sinatra/Sol Parker/Henry Sanicola,1941,This Love of Mine (C)
This Masquerade,592,592,C,Leon Russell,1972,This Masquerade (C)
This Time the Dream’s On Me,593,593,C,Harold Arlen/Johnny Mercer,1941,This Time the Dream’s On Me (C)
Thou Swell,594,594,C,Richard Rodgers/Lorenz Hart,1927,Thou Swell (C)
Three and One,595,595,C,Thad Jones,1967,Three and One (C)
Three Little Words,596,596,C,Bert Kalmar/Harry Ruby,1930,Three Little Words (C)
Till There Was You,597,597,C,Meredith Wilson,1950,Till There Was You (C)
Time After Time,598,598,C,Jule Styne/Sammy Cahn,1937,Time After Time (C)
Time On My Hands,599,599,C,Harold Adamson/Mack Gordon/Vincent Young,1930,Time On My Hands (C)
’Tis Autumn,600,600,C,Henry Nemo,1941,’Tis Autumn (C)
Too Close For Comfort,601,601,C,Larry Holofcener/George Weiss/Jerry Bock,1956,Too Close For Comfort (C)
Too Late Now,602,602,C,Alan Jay Lerner/Burton Lane,1950,Too Late Now (C)
Too Marvelous For Words,603,603,C,Johnny Mercer/Richard A. Whiting,1937,Too Marvelous For Words (C)
"Touch of Your Lips, The",604,604,C,Ray Noble,1936,"Touch of Your Lips, The (C)"
Tricotism,605,605,C,Oscar Pettiford,1954,Tricotism (C)
Triste,606,606,C,Antonio Carlos Jobim,1967,Triste (C)
Tune Up,607,607,C,Miles Davis,1963,Tune Up (C)
Two for the Road,608,608,C,Henry Mancini/Leslie Bricusse,1967,Two for the Road (C)
Undecided,609,609,C,Sid Robin/Charles Shavers,1939,Undecided (C)
Unforgettable,610,610,C,Irving Gordon,1951,Unforgettable (C)
Unit Seven,611,611,C,Sam Jones,1962,Unit Seven (C)
Until The Real Thing Comes Along,612,612,C,Mann Holinger/Alberta Nichols/Sammy Cahn/Saul Chaplin/L. E. Freeman,1936,Until The Real Thing Comes Along (C)
Up Jumped Spring,613,613,C,Freddie Hubbard,1962,Up Jumped Spring (C)
Valdez in the Country,614,614,C,Donny Hathaway/Walter Lee/Frank Moss,1969,Valdez in the Country (C)
Valse Hot,615,615,C,Sonny Rollins,1965,Valse Hot (C)
Very Early,616,616,C,Bill Evans,1964,Very Early (C)
"Very Thought of You, The",617,617,C,Ray Noble,1934,"Very Thought of You, The (C)"
Violets for Your Furs,618,618,C,Tom Adair/Matt Dennis,1941,Violets for Your Furs (C)
"Visit, The",619,619,C,Pat Martino,1972,"Visit, The (C)"
Voyage,620,620,C,Kenny Barron,1986,Voyage (C)
Walk On By,621,621,C,Burt Bacharach/Hal David,1964,Walk On By (C)
Walkin',622,622,C,Richard Carpenter,1955,Walkin' (C)
Waltse for Dave,623,623,C,Chick Corea,1979,Waltse for Dave (C)
Waltz Dark,624,624,C,Robert M. Roetker,1980,Waltz Dark (C)
Waltz for Debby,625,626,C,Bill Evans/Gene Lees,1964,Waltz for Debby (C)
Waltz New,627,627,C,Waltz New,1978,Waltz New (C)
Watch What Happens,628,628,C,Michel Legrand,1964,Watch What Happens (C)
Watermelon Man,629,629,C,Herbie Hancock,1975,Watermelon Man (C)
Wave,630,630,C,Antonio Carlos Jobim,1967,Wave (C)
"Way You Look Tonight, The",631,631,C,Jerome Kern/Dorothy Fields,1936,"Way You Look Tonight, The (C)"
A Weaver of Dreams,632,632,C,Victor Young/Jack Elliot,1951,A Weaver of Dreams (C)
Webb City,633,633,C,Bud Powell,1947,Webb City (C)
Wee Small Hours,634,634,C,David Mann/Bob Hilliard,1955,Wee Small Hours (C)
We’ll Be Together Again,635,635,C,Carl Fischer/Frankie Laune,1945,We’ll Be Together Again (C)
Well You Needn’t,636,636,C,Thelonious Monk,1944,Well You Needn’t (C)
Wendy,637,637,C,Paul Desmond,1975,Wendy (C)
West Coast Blues,638,638,C,Wes Montgomery,1960,West Coast Blues (C)
What a Difference A Day Made,639,639,C,Stanley Adams/Maria Grever,1934,What a Difference A Day Made (C)
What a Wonderful World,640,640,C,George David Weiss/Bob Thiele,1967,What a Wonderful World (C)
What Am I Here For?,641,641,C,Duke Ellington/Frankie Laine,1957,What Am I Here For? (C)
What Are You Doing the Rest of Your Life,642,642,C,Michel Legrand/Alan & Marilyn Bergman,1969,What Are You Doing the Rest of Your Life (C)
What is This Thing Called Love?,643,643,C,Cole Porter,1929,What is This Thing Called Love? (C)
What Kind of Fool Am I,644,644,C,Lesley Bricusse/Anthony Newley,1961,What Kind of Fool Am I (C)
What the World Needs Now,645,645,C,Burt Bacharach/Hal David,1965,What the World Needs Now (C)
What’ll I Do?,646,646,C,Irving Berlin,1924,What’ll I Do? (C)
What’s New?,647,647,C,Johnny Burke/Bob Haggard,1939,What’s New? (C)
When I Fall In Love,648,648,C,Edward Heyman/Victor Young,1952,When I Fall In Love (C)
When Lights Are Low,649,649,C,Spencer Williams/Benny Carter,1936,When Lights Are Low (C)
When Sunny Gets Blue,650,650,C,Jack Segal/Marvin Fisher,1956,When Sunny Gets Blue (C)
When You Wish Upon a Star,651,651,C,Leigh Harline/Ned Washington,1938,When You Wish Upon a Star (C)
When Your Lover Has Gone,652,652,C,Einer Aaron Swan,1931,When Your Lover Has Gone (C)
Where Are You?,653,653,C,Harold Adamson/Jimmy McHugh,1936,Where Are You? (C)
Where is Love?,654,654,C,Lionel Bart,1960,Where is Love? (C)
Where is the Love,655,655,C,Ralph MacDonald/William Salter,1971,Where is the Love (C)
Where or When,656,656,C,Richard Rodgers/Lorenz Hart,1937,Where or When (C)
While We're Young,657,657,C,Alec Wilder/Morty Palitz/William Envick,1943,While We're Young (C)
Whisper Not,658,658,C,Benny Golson,1956,Whisper Not (C)
Who Can I Turn To?,659,659,C,Lesley Bricusse/Anthony Newley,1964,Who Can I Turn To? (C)
Who Knows,660,660,C,Joao Donato/Paulo Sergio Valle,,Who Knows (C)
Wild Flower,661,661,C,Wayne Shorter,1965,Wild Flower (C)
Will You Still Be Mine?,662,662,C,Tom Adair/Matt Dennis,1940,Will You Still Be Mine? (C)
Willow Weep For me,663,663,C,Ann Ronell,1932,Willow Weep For me (C)
Windows,664,664,C,Chick Corea,1978,Windows (C)
Witchcraft,665,665,C,Cy Coleman/Carolyn Leigh,1957,Witchcraft (C)
Without a Song,666,666,C,Vincent Youmans/William Rose/Edward Eliscu,1929,Without a Song (C)
Without You (Tres Palabras),667,667,C,Ray Gilbert/Osvaldo Farres,1945,Without You (Tres Palabras) (C)
Wives and Lovers,668,668,C,Burt Bacharach/Hal David,1963,Wives and Lovers (C)
Wonder Why,669,669,C,Sammy Cahn/Nicholas Brodszky,1951,Wonder Why (C)
Woody ’N You,670,670,C,Dizzy Gillespie,1943,Woody ’N You (C)
Work Song,671,671,C,Nat Adderly/Oscar Brown Jr.,1960,Work Song (C)
Yardbird Suite,672,672,C,Charlie Parker,1946,Yardbird Suite (C)
Yesterdays,673,673,C,Jerome Kern/Otto Harbach,1933,Yesterdays (C)
You and the Night and the Music,674,674,C,Arthur Schwartz/Howard Dietz,1934,You and the Night and the Music (C)
You Are Too Beautiful,675,675,C,Richard Rodgers/Lorenz Hart,1932,You Are Too Beautiful (C)
You Don't Know What Love Is,676,676,C,Don Raye/Gene DePaul,1941,You Don't Know What Love Is (C)
You Go To My Head,677,677,C,J. Fred Coots/Haven Gillespie,1938,You Go To My Head (C)
You Make Me Feel So Young,678,678,C,Josef Myrow/Mack Gordon,1946,You Make Me Feel So Young (C)
You Must Believe in Spring,679,679,C,Michel Legrand/Alan & Marilyn Bergman,1967,You Must Believe in Spring (C)
You Say You Care,680,680,C,Leo Robin/Jule Styne,1949,You Say You Care (C)
You Stepped Out of a Dream,681,681,C,Gus Kahn/Nacio Herb Brown,1940,You Stepped Out of a Dream (C)
You Took Advantage of Me,682,682,C,Richard Rodgers/Lorenz Hart,1928,You Took Advantage of Me (C)
You Turned the Tables on Me,683,683,C,Sidney Mitchell/Louis Alter,1936,You Turned the Tables on Me (C)
You’d Be So Nice to Come Home To,684,684,C,Cole Porter,1942,You’d Be So Nice to Come Home To (C)
You’ll Never Know,685,685,C,Harry Warren/Mack Gordon,1943,You’ll Never Know (C)
Young and Foolish,686,686,C,Arnold B. Horwitt/Albert Hague,1954,Young and Foolish (C)
You’re My Everything,687,687,C,Mort Dixon/Joe Young/Harry Warren,1931,You’re My Everything (C)
Yours is My Heart Alone,688,688,C,Franz Lehar/Ludwig Herzer/Fritz Lohner/Harry B. Smith,1931,Yours is My Heart Alone (C)
You’ve Changed,689,689,C,Bill Carey/Carl Fischer,1942,You’ve Changed (C)
You've Never Been There,690,690,C,Johnny Griffin,1992,You've Never Been There (C)
Zingara,691,691,C,Antonio Carlos Jobim/Chico Buarque,1967,Zingara (C)